Date,Price,Open,High,Low,Vol.,Change
10/07/2022,147.08,148.98,150.87,147.08,6.42K,-3.00%
10/06/2022,151.63,148.6,151.63,147.08,14.26K,3.77%
10/05/2022,146.13,145.75,148.98,145.75,1.60K,0.65%
10/04/2022,145.18,148.03,148.03,144.23,0.39K,-1.29%
10/03/2022,147.08,147.17,150.68,147.08,0.22K,-2.39%
09/30/2022,150.68,150.87,150.87,147.08,1.40K,-0.75%
09/29/2022,151.82,151.73,151.82,151.73,0.07K,0.00%
09/28/2022,151.82,147.08,151.82,143.47,2.03K,3.23%
09/27/2022,147.08,151.82,151.82,147.08,2.53K,-3.13%
09/26/2022,151.82,148.03,151.82,148.03,2.27K,0.00%
09/23/2022,151.82,148.03,151.82,148.03,2.27K,0.06%
09/22/2022,151.73,149.92,151.73,148.98,20.28K,1.20%
09/21/2022,149.92,150.87,150.87,149.92,2.75K,-1.25%
09/20/2022,151.82,151.35,151.82,150.87,2.61K,0.31%
09/19/2022,151.35,151.82,151.82,151.35,0.42K,0.00%
09/16/2022,151.35,151.82,151.82,151.35,0.38K,0.00%
09/15/2022,151.35,151.35,151.35,151.16,1.93K,0.00%
09/14/2022,151.35,151.44,151.82,151.35,1.59K,-0.06%
09/13/2022,151.44,151.82,151.82,151.44,2.26K,-0.13%
09/12/2022,151.63,151.82,151.82,151.63,0.60K,0.00%
09/09/2022,151.63,151.82,151.82,151.63,0.46K,0.13%
09/08/2022,151.44,151.44,151.82,151.44,7.76K,0.00%
09/07/2022,151.44,151.82,151.82,151.44,23.25K,-0.25%
09/06/2022,151.82,151.82,151.82,151.73,15.54K,0.06%
09/05/2022,151.73,151.73,151.73,151.35,0.35K,0.00%
09/02/2022,151.73,151.82,151.82,151.73,3.72K,0.00%
09/01/2022,151.73,151.16,151.82,151.16,0.43K,0.44%
08/31/2022,151.06,151.73,151.82,150.87,5.46K,-0.44%
08/30/2022,151.73,151.82,151.82,151.73,1.17K,0.00%
08/26/2022,151.73,151.73,151.82,151.73,1.43K,0.00%
08/25/2022,151.73,151.82,151.82,151.73,0.86K,-0.06%
08/24/2022,151.82,151.82,151.82,150.87,2.51K,0.00%
08/23/2022,151.82,151.82,160.27,151.73,14.25K,0.06%
08/22/2022,151.73,151.73,151.73,149.92,1.10K,0.57%
08/19/2022,150.87,152.77,152.77,150.87,18.50K,-0.63%
08/18/2022,151.82,151.82,151.82,151.44,4.85K,0.00%
08/17/2022,151.82,151.82,153.72,151.82,12.41K,0.00%
