Date,Price,Open,High,Low,Vol.,Change
10/05/2023,171.19,171.19,172.17,171.19,2.32K,-0.06%
10/04/2023,171.29,172.56,172.66,171.19,4.76K,-0.74%
10/03/2023,172.56,171.68,172.56,171.68,4.94K,0.80%
10/02/2023,171.19,168.65,172.17,168.65,4.12K,-0.06%
09/29/2023,171.29,171.19,173.93,168.75,2.51K,0.00%
09/28/2023,171.29,168.84,171.29,168.84,15.90K,1.74%
09/27/2023,168.35,169.24,169.24,168.35,1.72K,-0.52%
09/26/2023,169.24,168.26,169.24,168.26,9.89K,1.17%
09/25/2023,167.28,168.16,168.26,165.42,0.69K,0.00%
09/22/2023,167.28,168.26,168.26,166.3,9.44K,0.59%
09/21/2023,166.3,168.06,168.26,166.1,12.77K,0.00%
09/20/2023,166.3,167.28,168.16,165.32,5.86K,0.06%
09/19/2023,166.2,164.44,167.18,164.34,5.84K,1.61%
09/18/2023,163.56,167.28,168.26,162.88,13.06K,0.66%
09/15/2023,162.49,162.39,165.81,162.39,1.75K,-1.13%
09/14/2023,164.34,161.41,165.32,161.41,0.47K,1.82%
09/13/2023,161.41,163.37,163.37,161.41,0.55K,-2.88%
09/12/2023,166.2,163.37,166.3,158.57,4.41K,1.74%
09/11/2023,163.37,158.57,166.3,158.57,4.92K,3.09%
09/08/2023,158.47,166.3,166.3,158.47,30.51K,-4.71%
09/07/2023,166.3,160.43,166.3,160.43,10.43K,2.41%
09/06/2023,162.39,166.3,166.3,162.39,0.76K,-0.60%
09/05/2023,163.37,167.28,167.28,163.37,2.13K,-2.34%
09/04/2023,167.28,160.33,168.26,160.33,15.21K,5.56%
09/01/2023,158.47,157.59,158.47,157.59,1.26K,0.00%
08/31/2023,158.47,159.36,159.36,156.03,21.88K,0.62%
08/30/2023,157.5,159.45,159.45,157.5,8.53K,-1.23%
08/29/2023,159.45,156.62,159.84,156.62,3.72K,1.24%
08/25/2023,157.5,158.38,158.38,156.52,1.59K,0.56%
08/24/2023,156.62,156.62,156.62,156.62,0.03K,0.06%
08/23/2023,156.52,156.81,157.5,156.52,1.63K,-1.23%
08/22/2023,158.47,159.84,159.84,158.47,0.92K,0.00%
08/18/2023,158.47,160.33,160.33,158.47,0.23K,-1.22%
08/17/2023,160.43,160.43,160.43,160.43,0.37K,-0.61%
08/16/2023,161.41,160.92,164.34,160.92,12.61K,0.61%
08/15/2023,160.43,156.62,161.31,156.52,0.21K,2.31%
08/14/2023,156.81,159.45,160.43,156.81,0.41K,-1.66%
08/11/2023,159.45,160.04,160.04,159.45,0.85K,-0.49%
08/10/2023,160.24,156.52,160.24,156.52,0.54K,2.38%
08/09/2023,156.52,157.5,157.5,155.54,0.37K,0.00%
08/08/2023,156.52,156.52,160.43,156.52,5.07K,0.00%
08/07/2023,156.52,155.64,158.28,155.64,0.86K,0.63%
08/04/2023,155.54,160.43,160.43,155.54,0.98K,-0.62%
08/03/2023,156.52,160.43,160.43,156.52,7.16K,-2.85%
08/02/2023,161.12,161.12,161.12,161.12,0.04K,-0.06%
08/01/2023,161.21,161.41,162.39,161.21,3.64K,-0.06%
07/31/2023,161.31,161.41,161.41,156.52,4.54K,2.30%
07/28/2023,157.69,162.39,162.39,156.52,0.92K,-2.89%
07/27/2023,162.39,156.52,162.39,156.52,14.43K,3.11%
07/26/2023,157.5,156.52,158.47,156.52,5.32K,1.26%
07/25/2023,155.54,159.45,159.45,155.54,8.19K,0.00%
07/24/2023,155.54,155.15,159.45,155.15,0.25K,-2.75%
07/21/2023,159.94,156.42,159.94,156.42,1.67K,3.15%
07/20/2023,155.05,154.66,159.75,154.66,2.14K,-1.37%
07/19/2023,157.2,159.84,159.84,155.05,2.60K,-1.71%
07/18/2023,159.94,160.33,160.33,158.47,0.49K,-0.24%
07/17/2023,160.33,160.33,160.33,160.33,0.02K,3.41%
07/14/2023,155.05,161.31,161.31,155.05,2.62K,-3.35%
07/13/2023,160.43,160.82,160.82,160.43,0.21K,3.34%
07/12/2023,155.25,159.65,160.92,155.15,7.86K,-2.76%
07/11/2023,159.65,159.75,160.14,156.52,1.78K,-0.06%
07/10/2023,159.75,159.75,159.75,159.65,0.57K,-0.06%
07/07/2023,159.84,155.54,160.24,155.05,4.41K,2.96%
07/06/2023,155.25,160.43,160.43,155.25,2.82K,-0.81%
07/05/2023,156.52,161.31,161.31,156.52,0.38K,-1.23%
07/04/2023,158.47,160.33,160.43,156.52,0.76K,-1.40%
07/03/2023,160.72,160.43,160.82,157.79,1.19K,-0.12%
06/30/2023,160.92,157.5,161.41,156.52,0.29K,2.17%
06/29/2023,157.5,160.33,160.33,156.52,1.47K,-1.77%
06/27/2023,160.33,156.52,160.33,156.52,1.04K,2.44%
06/26/2023,156.52,155.64,160.33,153.68,3.34K,0.38%
06/23/2023,155.93,159.84,159.84,154.56,2.05K,-0.38%
06/22/2023,156.52,160.33,160.33,155.54,0.59K,-2.85%
06/21/2023,161.12,161.31,161.31,153.58,0.58K,-0.12%
06/20/2023,161.31,158.47,161.31,153.58,0.25K,3.06%
06/19/2023,156.52,155.54,156.52,153.58,5.99K,0.63%
06/16/2023,155.54,156.52,157.4,155.34,4.51K,0.13%
06/15/2023,155.34,157.4,157.5,152.61,4.08K,-1.31%
06/14/2023,157.4,156.62,157.4,156.52,3.16K,0.00%
06/13/2023,157.4,157.59,157.59,156.52,69.27K,-0.06%
06/09/2023,157.5,156.52,158.38,156.52,19.04K,0.56%
06/08/2023,156.62,156.62,158.96,156.62,1.76K,-1.78%
06/07/2023,159.45,159.45,159.45,159.45,0.18K,1.24%
06/06/2023,157.5,160.33,160.43,157.5,1.55K,-1.53%
06/05/2023,159.94,160.33,160.33,159.94,0.32K,1.55%
06/02/2023,157.5,157.5,160.33,157.5,2.06K,-0.12%
06/01/2023,157.69,160.43,160.43,157.69,0.54K,0.00%
05/31/2023,157.69,158.47,160.33,157.59,0.44K,-1.71%
05/30/2023,160.43,160.43,160.43,160.43,0.58K,0.00%
05/29/2023,160.43,161.41,161.41,160.43,0.21K,0.00%
05/26/2023,160.43,160.43,160.43,160.43,1.05K,1.23%
05/25/2023,158.47,162.39,162.39,158.47,2.40K,-1.82%
05/24/2023,161.41,162.39,162.39,161.41,0.20K,0.00%
05/23/2023,161.41,162.39,162.39,158.47,0.67K,0.00%
05/22/2023,161.41,164.34,164.34,161.41,0.29K,-1.20%
05/19/2023,163.37,162.39,164.34,161.41,1.34K,3.09%
05/18/2023,158.47,164.83,164.83,157.5,1.62K,-1.82%
05/17/2023,161.41,162.19,162.19,161.41,0.73K,-0.48%
05/16/2023,162.19,162.39,164.83,162.19,0.77K,-0.12%
05/15/2023,162.39,164.83,164.83,162.39,0.24K,0.61%
05/12/2023,161.41,160.43,161.41,160.43,2.24K,0.00%
05/11/2023,161.41,161.41,161.41,160.43,0.81K,0.00%
05/10/2023,161.41,161.41,161.8,160.43,0.22K,0.00%
05/09/2023,161.41,161.7,161.7,161.41,0.41K,0.00%
05/08/2023,161.41,161.9,161.9,161.41,1.13K,-0.60%
05/05/2023,162.39,162.97,163.37,162.39,0.70K,-0.36%
05/04/2023,162.97,165.13,165.13,162.97,2.12K,-0.83%
05/03/2023,164.34,165.32,165.32,164.34,0.56K,2.75%
05/02/2023,159.94,159.06,165.32,159.06,0.32K,-3.43%
04/28/2023,165.62,158.57,165.71,158.47,0.21K,-0.35%
04/27/2023,166.2,164.93,169.72,164.93,1.54K,1.55%
04/26/2023,163.66,156.71,163.86,156.62,2.23K,-0.24%
04/25/2023,164.05,166.2,166.2,164.05,0.06K,4.75%
04/24/2023,156.62,163.37,165.32,156.52,2.61K,-5.27%
04/20/2023,165.32,165.32,165.32,165.32,0.01K,-0.18%
04/19/2023,165.62,166.3,166.3,154.46,1.69K,-0.41%
04/18/2023,166.3,163.37,166.3,163.37,0.18K,0.00%
04/17/2023,166.3,158.38,166.3,156.52,1.15K,5.00%
04/14/2023,158.38,158.96,158.96,156.52,0.63K,1.19%
04/13/2023,156.52,160.43,160.43,153.68,2.33K,-1.23%
04/12/2023,158.47,163.86,163.86,158.47,0.93K,-1.82%
04/11/2023,161.41,166.3,166.3,161.41,0.06K,-4.90%
04/05/2023,169.72,169.72,169.72,169.72,0.02K,1.46%
04/04/2023,167.28,166.4,170.02,158.47,0.85K,0.59%
04/03/2023,166.3,164.34,170.21,164.34,0.73K,1.19%
03/31/2023,164.34,170.21,171.19,164.34,0.82K,-1.03%
03/30/2023,166.06,166.06,166.06,165.11,16.95K,0.00%
03/29/2023,166.06,167.95,167.95,165.58,2.93K,-1.69%
03/28/2023,168.9,166.06,170.8,166.06,2.00K,3.31%
03/27/2023,163.49,168.9,170.8,163.49,3.97K,-3.20%
03/24/2023,168.9,163.21,174.6,163.21,4.53K,4.71%
03/23/2023,161.31,153.72,162.26,153.72,6.37K,5.00%
03/22/2023,153.63,153.72,153.72,152.77,11.75K,1.06%
03/21/2023,152.01,154.67,158.46,152.01,2.00K,-2.02%
03/20/2023,155.14,161.31,161.31,148.03,10.54K,-3.82%
03/17/2023,161.31,161.31,161.31,161.31,0.36K,3.03%
03/16/2023,156.57,156.57,156.57,153.72,0.22K,-2.94%
03/15/2023,161.31,161.31,161.31,156.57,0.43K,3.03%
03/14/2023,156.57,162.26,162.26,156.57,2.54K,-3.51%
03/13/2023,162.26,161.31,162.26,161.31,1.87K,-0.58%
03/10/2023,163.21,163.21,166.06,163.21,1.44K,-1.71%
03/09/2023,166.06,163.21,166.06,163.21,0.51K,0.00%
03/08/2023,166.06,167.95,167.95,166.06,1.80K,-1.13%
03/07/2023,167.95,168.9,168.9,166.25,0.16K,0.57%
03/06/2023,167,167.95,167.95,167,0.93K,0.00%
03/03/2023,167,166.15,167,166.15,0.13K,0.51%
03/02/2023,166.15,166.06,166.15,166.06,0.37K,-2.18%
03/01/2023,169.85,167.95,169.85,165.11,0.78K,0.00%
02/28/2023,169.85,169.85,170.8,168.9,0.69K,0.00%
02/27/2023,169.85,171.27,171.27,169.85,5.52K,-0.83%
02/24/2023,171.27,170.8,171.27,169.85,1.06K,0.00%
02/23/2023,171.27,170.8,171.27,169.85,1.06K,1.40%
02/22/2023,168.9,168.9,168.9,168.9,0.01K,-1.66%
02/21/2023,171.75,170.33,171.75,169.85,0.58K,2.26%
02/20/2023,167.95,168.9,168.9,167.95,0.20K,-1.67%
02/17/2023,170.8,170.8,170.8,170.8,0.88K,0.00%
02/16/2023,170.8,170.8,171.75,170.8,3.38K,1.69%
02/15/2023,167.95,172.7,172.7,167.95,0.93K,-3.28%
02/14/2023,173.65,171.75,173.65,171.75,1.63K,0.00%
02/13/2023,173.65,172.7,173.65,167,1.64K,0.00%
02/10/2023,173.65,174.12,174.12,172.7,1.33K,1.67%
02/09/2023,170.8,175.07,175.07,170.8,1.78K,-2.44%
02/08/2023,175.07,175.54,175.54,170.8,0.68K,-0.81%
02/07/2023,176.49,179.82,179.82,174.6,0.67K,-1.59%
02/06/2023,179.34,169.85,180.29,169.85,5.79K,5.59%
02/03/2023,169.85,169.85,170.8,168.9,1.81K,0.00%
02/02/2023,169.85,168.9,170.8,168.9,0.74K,1.13%
02/01/2023,167.95,167.95,167.95,165.68,1.37K,0.00%
01/31/2023,167.95,169.85,169.85,167.95,0.82K,-1.12%
01/30/2023,169.85,170.8,170.8,167.95,2.60K,0.00%
01/27/2023,169.85,170.33,170.8,169.85,0.84K,-0.56%
01/26/2023,170.8,170.8,170.8,166.06,0.86K,0.00%
01/25/2023,170.8,169.85,170.8,169.85,2.16K,0.56%
01/24/2023,169.85,165.96,170.33,165.11,6.30K,4.07%
01/23/2023,163.21,161.12,165.96,161.12,2.67K,2.14%
01/20/2023,159.79,158.56,159.89,158.56,3.86K,0.24%
01/19/2023,159.41,158.46,159.41,158.46,3.15K,0.60%
01/18/2023,158.46,158.28,158.46,157.14,5.29K,0.18%
01/17/2023,158.18,158.28,158.28,156.85,1.51K,-0.18%
01/16/2023,158.46,156.09,158.46,156.09,7.78K,1.83%
01/13/2023,155.62,155.62,156.09,155.62,0.60K,0.00%
01/12/2023,155.62,155.33,156.47,155.33,0.81K,0.00%
01/11/2023,155.62,155.62,155.62,155.24,0.56K,-0.30%
